bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
Black Talon,8.25,Benelli M4,505.62,6.12,9.09,Wood,2.0,74
ELD-M,6.66,Walther PPQ,629.72,7.56,9.72,Concrete,1.0,29
SP,12.27,AK-47,536.12,4.69,9.67,Rubber,15.0,44
Critical Defense,5.0,Ruger SR9,501.05,15.95,11.41,Kevlar,17.0,23
PolyCase ARX,8.28,Mossberg 500,704.75,2.0,9.23,Brick,50.0,16
AccuBond,5.0,Dragunov SVD,677.98,11.93,6.0,Kevlar,5.0,11
SP,11.81,M16,881.57,2.0,7.73,Rubber,30.0,38
Black Talon,8.27,Glock 17,537.32,6.49,14.0,Ceramic,21.0,17
Golden Saber,5.83,AR-15,300.0,10.96,9.67,Ceramic,27.0,23
Hydra-Shok,11.06,Ruger SR9,585.44,14.72,11.0,Water,3.0,72
Partition,5.0,SCAR-L,953.81,7.04,9.83,Brick,12.0,38
Golden Saber,9.84,Walther PPQ,705.2,5.84,9.85,Sand,9.0,43
ELD-M,12.45,CZ 75,751.06,8.81,7.77,Metal,24.0,43
HST,9.54,M16,518.97,14.6,13.41,Brick,18.0,64
Critical Defense,7.48,Sig Sauer P320,682.63,8.68,8.5,Concrete,69.0,19
Black Talon,5.27,Beretta 92FS,761.59,10.04,8.46,Brick,3.0,28
AP,12.25,Dragunov SVD,433.15,5.44,10.77,Sand,13.0,38
BTHP,11.78,FN Five-seveN,399.84,11.64,12.33,Brick,24.0,26
V-MAX,7.06,FN Five-seveN,590.94,2.0,9.45,Wood,9.0,67
Ranger T-Series,7.14,Walther PPQ,693.85,13.01,6.25,Brick,51.0,18
Partition,12.56,M4 Carbine,300.0,13.32,6.32,Water,38.0,57
Extreme Point,10.59,Beretta 92FS,461.04,16.08,13.09,Wood,41.0,46
Extreme Point,5.0,Dragunov SVD,300.0,13.31,10.15,Concrete,19.0,14
PolyCase ARX,8.41,Smith & Wesson M&P,475.48,5.84,12.66,Sand,13.0,46
PolyCase ARX,8.3,CZ 75,837.92,13.86,10.47,Concrete,9.0,24
JHP,9.74,Winchester Model 70,375.2,12.52,8.3,Kevlar,3.0,25
AccuBond,9.02,AK-47,442.78,5.1,10.78,Sand,59.0,31
AMAX,7.46,Beretta 92FS,632.39,8.83,10.54,Water,6.0,52
EFMJ,9.54,Kel-Tec KSG,698.76,2.0,11.0,Wood,32.0,64
Critical Duty,7.66,Sig Sauer P320,691.23,2.48,10.17,Glass,1.0,90
HST,15.0,Desert Eagle,507.46,11.28,9.04,Concrete,10.0,36
AMAX,9.37,Ruger SR9,614.09,14.54,12.29,Glass,17.0,92
PolyCase ARX,8.96,Remington 870,605.32,11.3,9.87,Sand,8.0,58
V-Crown,14.53,AK-47,359.25,8.22,10.47,Ceramic,4.0,39
V-Crown,5.0,Benelli M4,300.0,3.87,8.04,Glass,1.0,108
Golden Saber,8.67,Barrett M82,320.6,10.58,7.84,Water,90.0,24
Hydra-Shok,6.15,AK-47,787.75,2.0,8.39,Sand,44.0,34
V-MAX,10.91,Smith & Wesson M&P,942.64,10.06,7.83,Brick,7.0,34
EFMJ,7.52,Mossberg 500,481.8,4.39,6.0,Concrete,1.0,27
Critical Duty,10.74,CZ 75,780.04,11.02,8.75,Kevlar,16.0,10
Partition,10.52,HK416,440.52,11.22,13.05,Glass,8.0,89
FMJ,11.34,M16,569.81,5.74,9.16,Kevlar,2.0,14
V-MAX,10.57,Smith & Wesson M&P,377.16,11.74,7.48,Metal,31.0,26
BTHP,8.33,Remington 870,702.91,2.0,11.42,Metal,8.0,34
AMAX,5.0,CZ 75,372.28,7.43,9.76,Kevlar,72.0,23
EFMJ,12.03,Beretta 92FS,321.48,11.16,9.25,Rubber,24.0,44
Extreme Point,13.23,Remington 870,509.35,10.49,7.6,Wood,37.0,56
Gold Dot,6.19,SCAR-L,663.35,5.78,10.01,Glass,19.0,86
AccuBond,11.21,Ruger SR9,532.73,11.53,10.07,Wood,16.0,77
BTHP,5.49,Glock 17,406.19,11.68,10.61,Water,11.0,35
HST,9.61,AR-15,320.06,3.31,10.15,Metal,2.0,48
Critical Defense,10.23,Remington 700,300.0,7.55,9.72,Ceramic,27.0,20
Partition,7.72,M4 Carbine,408.75,8.78,10.0,Ceramic,8.0,25
Golden Saber,9.29,Remington 700,469.42,8.72,9.78,Sand,4.0,53
Hydra-Shok,11.54,HK USP,610.79,11.25,7.05,Ceramic,2.0,29
Ranger T-Series,8.67,Springfield XD,300.0,6.35,13.92,Brick,2.0,32
Extreme Point,6.97,Sig Sauer P320,633.64,14.54,11.2,Ceramic,13.0,26
Extreme Point,5.33,CZ 75,381.17,6.42,10.29,Wood,36.0,42
Black Talon,7.83,Remington 870,397.25,3.46,9.54,Rubber,3.0,63
FMJ,5.48,Sig Sauer P320,749.74,7.09,9.66,Ceramic,14.0,20
TMJ,7.87,Benelli M4,300.0,9.02,10.58,Water,10.0,56
AMAX,7.6,HK416,300.0,3.29,12.81,Wood,16.0,51
V-Crown,11.41,M16,509.13,6.77,8.62,Water,1.0,79
FMJ,9.22,Remington 700,499.01,3.04,10.54,Water,15.0,30
JHP,15.0,Remington 700,300.0,10.81,6.76,Wood,16.0,69
FMJ,5.0,Mossberg 500,401.16,7.29,11.63,Rubber,41.0,18
FMJ,9.94,Walther PPQ,691.6,2.0,10.69,Rubber,4.0,44
BTHP,7.65,Barrett M82,300.0,12.15,9.79,Rubber,34.0,43
Critical Duty,6.13,Winchester Model 70,716.15,3.32,6.0,Glass,28.0,67
FMJ,8.91,Beretta 92FS,356.77,18.67,8.85,Glass,49.0,41
Critical Duty,8.69,CZ 75,300.0,5.27,8.12,Water,49.0,36
Black Talon,12.23,Remington 700,663.82,5.69,8.17,Water,29.0,50
Extreme Point,9.27,CZ 75,550.14,8.64,6.29,Water,52.0,22
ELD-M,6.92,Ruger SR9,300.0,2.0,9.27,Glass,6.0,87
JHP,10.0,Springfield XD,391.44,9.76,13.64,Concrete,3.0,24
V-MAX,8.31,Mossberg 500,844.99,10.8,11.42,Metal,7.0,44
ELD-M,5.62,SCAR-L,631.67,11.63,10.11,Glass,37.0,73
Golden Saber,8.25,Mossberg 500,723.08,9.12,11.1,Kevlar,8.0,17
V-Crown,9.69,HK USP,300.0,8.36,14.0,Glass,34.0,54
Hydra-Shok,9.22,Kel-Tec KSG,745.06,2.0,8.0,Concrete,9.0,21
JHP,9.99,Winchester Model 70,300.0,9.97,8.44,Rubber,32.0,35
TMJ,7.42,Barrett M82,300.0,7.83,9.03,Glass,38.0,30
PowerBond,9.95,FN Five-seveN,667.02,6.29,7.17,Wood,23.0,59
Critical Defense,9.36,Smith & Wesson M&P,300.0,3.87,10.64,Wood,78.0,33
HST,9.38,Sig Sauer P320,803.51,9.92,9.39,Concrete,26.0,19
AMAX,9.1,Beretta 92FS,300.0,6.71,11.25,Wood,6.0,69
EFMJ,15.0,Dragunov SVD,305.59,2.0,11.66,Ceramic,83.0,12
SP,12.33,HK USP,730.63,7.11,12.64,Concrete,23.0,16
V-MAX,9.89,CZ 75,375.85,4.92,11.45,Kevlar,11.0,26
BTHP,6.6,FN Five-seveN,659.03,11.5,9.25,Ceramic,14.0,13
V-MAX,8.12,Colt 1911,300.0,7.34,8.98,Metal,29.0,55
BTHP,13.85,Springfield XD,444.68,6.95,8.02,Wood,28.0,67
ELD-M,7.31,Remington 870,648.17,9.23,10.09,Brick,37.0,24
BTHP,8.5,Springfield XD,330.86,14.7,10.72,Metal,6.0,40
V-Crown,8.34,HK416,704.55,9.62,7.02,Ceramic,59.0,15
Critical Defense,10.1,Dragunov SVD,427.94,4.84,12.31,Brick,6.0,30
AMAX,7.69,Dragunov SVD,524.02,2.0,10.05,Sand,13.0,38
AMAX,9.53,Remington 700,300.0,13.32,9.24,Water,5.0,63
V-Crown,7.76,Desert Eagle,345.93,2.0,7.97,Brick,11.0,27
Black Talon,12.94,Springfield XD,331.17,7.91,12.81,Wood,21.0,61
Hydra-Shok,6.94,Barrett M82,378.21,17.4,11.02,Kevlar,14.0,17
ELD-M,11.93,HK416,809.24,2.0,11.73,Rubber,6.0,53
EFMJ,7.24,Mossberg 500,724.16,3.53,9.78,Water,10.0,62
Black Talon,6.44,Ruger SR9,590.36,8.8,13.23,Rubber,18.0,63
Ranger T-Series,6.9,Remington 700,368.28,4.78,11.65,Wood,46.0,58
AP,5.0,Kel-Tec KSG,331.58,7.54,12.65,Concrete,11.0,23
V-MAX,10.32,Kel-Tec KSG,306.08,9.7,12.33,Concrete,17.0,24
Extreme Point,5.51,Walther PPQ,439.23,10.28,8.75,Sand,48.0,28
SP,7.93,Winchester Model 70,556.03,12.43,10.41,Ceramic,37.0,3
BTHP,11.28,Dragunov SVD,622.85,2.0,12.67,Ceramic,4.0,8
TMJ,11.19,Remington 870,502.88,13.07,10.98,Kevlar,9.0,8
Golden Saber,5.0,AK-47,613.09,13.39,8.02,Kevlar,31.0,16
EFMJ,9.93,Colt 1911,687.19,11.38,10.18,Sand,26.0,36
V-Crown,12.42,M16,425.65,3.47,11.63,Metal,29.0,53
Extreme Point,7.09,Springfield XD,719.68,3.27,7.08,Brick,3.0,33
Critical Defense,10.54,Benelli M4,303.25,9.19,8.06,Kevlar,12.0,29
PowerBond,5.57,Remington 870,617.28,10.58,7.16,Wood,24.0,60
Critical Defense,10.16,Kel-Tec KSG,506.39,12.7,10.95,Kevlar,10.0,28
Critical Duty,9.39,Ruger SR9,535.06,6.08,13.12,Concrete,17.0,30
Partition,10.98,Dragunov SVD,426.44,10.51,6.0,Concrete,29.0,30
Critical Duty,10.8,CZ 75,749.46,10.29,10.42,Concrete,14.0,23
Gold Dot,5.0,Remington 870,379.15,5.38,8.73,Glass,19.0,71
Gold Dot,9.41,Beretta 92FS,777.49,6.24,13.42,Ceramic,8.0,39
PowerBond,13.36,Barrett M82,778.81,2.0,10.44,Glass,9.0,99
Golden Saber,5.0,CZ 75,590.22,3.74,11.71,Ceramic,4.0,25
AP,11.9,FN Five-seveN,437.43,5.48,12.78,Ceramic,96.0,11
Critical Duty,13.81,Barrett M82,332.45,10.09,10.35,Brick,19.0,29
AMAX,5.0,Remington 700,300.0,17.05,6.4,Metal,4.0,31
PowerBond,6.99,HK USP,607.98,9.94,9.76,Sand,4.0,38
PolyCase ARX,10.55,Barrett M82,300.0,3.02,10.42,Brick,5.0,44
PowerBond,6.34,FN Five-seveN,305.7,6.09,7.65,Water,25.0,33
Gold Dot,13.09,Benelli M4,610.2,12.2,6.22,Rubber,14.0,64
Critical Defense,12.18,Benelli M4,414.02,4.79,7.24,Sand,15.0,38
V-Crown,5.0,Dragunov SVD,543.52,14.0,12.66,Water,24.0,45
V-MAX,6.77,Winchester Model 70,592.12,10.74,7.66,Sand,26.0,54
V-Crown,11.31,Colt 1911,820.94,6.99,14.0,Water,27.0,66
Gold Dot,11.19,Benelli M4,539.71,2.0,12.86,Glass,2.0,127
Extreme Point,15.0,Winchester Model 70,390.08,12.03,11.83,Brick,36.0,37
BT,6.36,Remington 870,484.98,10.57,6.91,Wood,4.0,63
AccuBond,13.38,Desert Eagle,384.43,9.89,12.81,Ceramic,20.0,25
BTHP,6.26,Smith & Wesson M&P,875.95,18.7,8.99,Glass,5.0,86
SP,10.5,HK USP,574.45,4.26,6.34,Glass,35.0,71
TMJ,11.68,Remington 700,616.93,14.09,10.51,Ceramic,29.0,33
Gold Dot,5.0,Springfield XD,770.5,7.25,10.91,Brick,4.0,35
SP,11.73,Smith & Wesson M&P,330.47,9.02,8.4,Sand,16.0,38
Extreme Point,13.15,Smith & Wesson M&P,300.0,9.25,8.8,Kevlar,26.0,9
Hydra-Shok,12.29,SCAR-L,495.45,11.34,9.64,Wood,4.0,87
FMJ,15.0,Kel-Tec KSG,300.0,5.14,9.59,Brick,3.0,16
ELD-M,11.9,HK USP,417.78,17.58,11.5,Rubber,9.0,59
Critical Defense,7.39,Desert Eagle,300.0,3.58,9.45,Sand,50.0,22
HST,12.72,Walther PPQ,300.0,6.57,13.29,Brick,1.0,42
PolyCase ARX,7.22,Mossberg 500,744.59,15.37,10.63,Metal,9.0,33
AccuBond,9.25,AR-15,580.93,12.72,6.68,Sand,33.0,44
Black Talon,11.5,Remington 870,859.53,6.57,12.31,Kevlar,8.0,19
BT,10.34,Beretta 92FS,493.77,10.72,8.32,Wood,1.0,36
AP,13.05,AR-15,486.09,3.69,12.28,Concrete,20.0,27
Critical Defense,15.0,Benelli M4,543.09,4.76,10.68,Water,63.0,43
Black Talon,5.59,Remington 700,1000.0,6.54,8.37,Glass,17.0,76
AccuBond,8.01,Ruger SR9,710.52,13.71,9.16,Kevlar,34.0,23
V-Crown,9.95,Smith & Wesson M&P,331.88,2.0,10.91,Metal,1.0,17
HST,7.61,Mossberg 500,581.47,11.52,10.54,Kevlar,22.0,-3
Gold Dot,8.77,Colt 1911,530.51,6.42,11.91,Sand,3.0,53
BTHP,11.33,CZ 75,644.18,10.48,10.87,Glass,24.0,78
AP,10.93,Remington 870,874.64,10.34,10.0,Rubber,17.0,57
PolyCase ARX,9.74,AK-47,617.56,7.89,10.21,Ceramic,5.0,32
JHP,9.44,Ruger SR9,425.85,4.98,9.62,Metal,18.0,38
AP,8.33,Ruger SR9,872.87,5.33,11.05,Rubber,23.0,62
JHP,13.21,Colt 1911,300.0,6.75,10.84,Brick,46.0,15
Hydra-Shok,13.99,M4 Carbine,445.77,2.0,10.51,Concrete,44.0,28
JHP,12.06,M16,680.29,8.36,14.0,Ceramic,55.0,18
AP,5.55,Barrett M82,341.9,5.18,10.76,Rubber,37.0,45
V-MAX,8.21,Walther PPQ,489.64,6.15,12.46,Sand,16.0,56
ELD-M,9.6,Remington 700,359.74,7.18,8.7,Rubber,38.0,39
TMJ,6.18,Barrett M82,492.33,11.0,10.02,Glass,26.0,57
Gold Dot,9.24,Remington 870,360.08,12.95,6.0,Sand,27.0,41
Gold Dot,9.07,Sig Sauer P320,515.81,13.49,10.18,Ceramic,3.0,20
Extreme Point,12.25,M16,434.08,9.64,8.77,Concrete,4.0,31
Critical Defense,7.51,M4 Carbine,765.45,6.44,8.59,Brick,4.0,44
SP,12.49,AR-15,577.1,2.77,10.43,Kevlar,5.0,29
Critical Duty,6.13,Smith & Wesson M&P,647.63,17.76,9.19,Brick,11.0,46
V-Crown,6.55,Kel-Tec KSG,528.86,15.12,6.91,Wood,8.0,80
AMAX,7.86,HK416,413.12,11.57,9.59,Concrete,1.0,28
PolyCase ARX,9.14,SCAR-L,566.96,10.63,14.0,Glass,26.0,90
Hydra-Shok,5.0,Remington 700,540.56,6.58,10.84,Ceramic,10.0,16
FMJ,10.38,Glock 17,300.0,8.52,10.56,Sand,2.0,35
SP,14.13,Benelli M4,506.71,11.68,7.74,Glass,31.0,88
AMAX,10.95,Desert Eagle,634.39,2.0,7.52,Kevlar,1.0,25
AP,8.37,Barrett M82,356.78,5.55,8.13,Metal,16.0,32
Ranger T-Series,5.75,AR-15,673.5,8.04,10.56,Sand,28.0,28
PowerBond,5.0,Winchester Model 70,571.12,2.0,7.56,Water,9.0,32
TMJ,5.0,Barrett M82,420.64,2.05,12.86,Brick,17.0,11
Critical Defense,8.61,Winchester Model 70,608.38,5.37,7.68,Concrete,1.0,39
Golden Saber,15.0,Barrett M82,426.28,8.34,11.62,Water,5.0,72
Golden Saber,5.0,Mossberg 500,555.36,14.04,10.54,Brick,22.0,29
JHP,11.1,Walther PPQ,448.02,6.21,13.01,Concrete,31.0,22
PowerBond,6.97,Remington 870,609.8,15.52,7.81,Metal,2.0,33
BT,7.99,Beretta 92FS,769.36,5.09,14.0,Sand,68.0,17
BT,6.19,Winchester Model 70,412.78,7.5,10.38,Metal,10.0,27
V-MAX,5.0,Remington 870,680.45,2.08,12.39,Wood,52.0,35
Critical Duty,9.38,Mossberg 500,440.21,6.26,10.78,Wood,16.0,78
BTHP,9.79,Benelli M4,441.78,2.0,7.88,Glass,21.0,96
Extreme Point,11.01,Smith & Wesson M&P,420.95,20.0,8.46,Brick,4.0,50
Hydra-Shok,5.0,Dragunov SVD,300.0,3.82,10.05,Rubber,43.0,26
Golden Saber,11.62,Remington 870,600.07,9.44,8.46,Ceramic,2.0,26
AccuBond,11.68,M16,556.81,6.09,10.3,Glass,88.0,65
ELD-M,10.27,Springfield XD,532.59,7.06,11.76,Kevlar,10.0,9
Partition,7.74,AR-15,810.9,7.69,12.56,Brick,4.0,46
Black Talon,9.93,Walther PPQ,832.92,11.8,13.34,Ceramic,19.0,20
JHP,8.52,Barrett M82,761.59,10.03,9.91,Brick,40.0,27
ELD-M,11.91,Desert Eagle,452.93,8.97,9.15,Metal,10.0,55
V-MAX,7.9,Winchester Model 70,442.79,10.32,6.53,Glass,1.0,95
HST,9.32,FN Five-seveN,300.0,9.48,6.0,Concrete,41.0,19
Partition,5.0,Springfield XD,512.37,2.9,9.81,Water,17.0,52
Partition,9.92,Sig Sauer P320,501.65,7.01,12.5,Wood,2.0,52
JHP,6.75,Barrett M82,607.69,10.74,10.24,Sand,47.0,30
SP,10.54,M16,300.0,5.62,10.83,Wood,30.0,56
BT,11.37,FN Five-seveN,425.15,9.43,7.96,Glass,15.0,65
BT,7.17,Kel-Tec KSG,300.0,12.41,9.11,Glass,12.0,58
FMJ,9.09,CZ 75,356.79,5.22,12.34,Sand,24.0,29
AMAX,9.52,HK416,678.53,12.07,10.89,Glass,9.0,95
Critical Defense,10.1,Springfield XD,300.0,7.58,9.07,Glass,21.0,72
AccuBond,11.37,Winchester Model 70,848.8,8.29,11.34,Metal,3.0,47
AP,10.98,SCAR-L,701.78,11.39,10.24,Concrete,3.0,42
Critical Duty,7.86,SCAR-L,600.25,10.37,12.17,Water,7.0,69
PowerBond,13.79,M16,766.71,2.0,10.97,Ceramic,43.0,15
Hydra-Shok,11.26,Mossberg 500,475.79,2.0,9.34,Wood,38.0,51
EFMJ,13.22,Sig Sauer P320,352.5,10.13,9.55,Kevlar,14.0,2
TMJ,10.04,Remington 700,480.81,7.44,7.26,Brick,18.0,17
SP,10.22,M16,300.0,2.0,6.76,Water,20.0,56
Extreme Point,8.65,M4 Carbine,738.15,5.36,9.11,Wood,9.0,77
Golden Saber,7.67,Dragunov SVD,430.22,2.0,12.71,Ceramic,24.0,20
Ranger T-Series,11.93,Dragunov SVD,348.96,7.58,10.86,Rubber,19.0,50
TMJ,9.79,HK416,372.09,13.03,9.42,Kevlar,9.0,22
TMJ,8.61,Glock 17,503.32,5.14,11.32,Concrete,7.0,21
Critical Defense,5.93,Walther PPQ,523.92,8.98,12.23,Rubber,79.0,30
BTHP,13.67,HK USP,470.78,7.58,8.78,Sand,7.0,55
FMJ,9.34,Mossberg 500,469.89,14.4,8.79,Concrete,4.0,17
BT,5.32,Desert Eagle,609.95,13.07,14.0,Glass,36.0,59
Black Talon,9.24,Winchester Model 70,300.0,2.0,8.22,Brick,33.0,20
AMAX,8.4,M4 Carbine,545.04,7.23,8.9,Concrete,5.0,41
EFMJ,8.27,Kel-Tec KSG,436.43,4.46,9.28,Kevlar,38.0,8
Critical Defense,10.73,HK USP,300.0,5.6,8.0,Sand,49.0,31
FMJ,8.4,Springfield XD,300.0,11.14,6.15,Wood,8.0,51
Partition,8.08,Remington 700,341.6,8.77,10.18,Sand,8.0,39
Extreme Point,13.09,AK-47,834.08,11.09,8.74,Sand,3.0,53
Black Talon,5.0,AK-47,590.5,2.0,10.89,Water,19.0,54
Partition,8.85,Colt 1911,554.2,11.72,8.33,Brick,24.0,48
EFMJ,11.79,Desert Eagle,402.61,9.71,12.52,Water,2.0,51
BT,10.88,AR-15,397.53,14.43,9.89,Water,5.0,72
Hydra-Shok,12.06,AR-15,300.0,5.56,8.32,Concrete,6.0,20
BT,15.0,HK416,434.72,12.3,8.63,Rubber,12.0,47
Critical Defense,14.1,Smith & Wesson M&P,775.12,9.17,9.5,Metal,35.0,42
BT,5.53,Mossberg 500,300.0,8.53,12.74,Glass,5.0,65
HST,5.0,Remington 700,382.71,6.05,8.83,Water,33.0,47
HST,9.98,Beretta 92FS,685.24,7.62,6.78,Concrete,44.0,20
AccuBond,5.0,AK-47,684.69,4.08,13.48,Brick,4.0,26
Critical Defense,5.0,Walther PPQ,355.89,6.41,6.39,Ceramic,99.0,-8
AccuBond,9.95,Beretta 92FS,732.72,5.64,14.0,Water,15.0,62
Hydra-Shok,10.7,Glock 17,413.06,6.86,6.32,Water,16.0,55
Hydra-Shok,14.13,Barrett M82,300.0,7.27,9.21,Kevlar,19.0,26
V-MAX,11.31,Sig Sauer P320,799.66,7.37,9.12,Rubber,32.0,41
Critical Defense,14.76,Springfield XD,518.39,7.97,11.75,Wood,21.0,55
Black Talon,10.07,CZ 75,466.43,7.93,11.4,Kevlar,27.0,20
V-Crown,5.59,Glock 17,534.97,8.43,13.9,Glass,12.0,74
Golden Saber,11.47,Desert Eagle,306.02,7.88,6.96,Concrete,18.0,20
JHP,13.0,SCAR-L,387.62,6.92,6.55,Wood,6.0,67
BTHP,10.17,Remington 870,787.38,9.72,12.1,Wood,9.0,70
BT,13.35,Kel-Tec KSG,871.83,12.85,14.0,Glass,20.0,80
Black Talon,8.63,Winchester Model 70,300.0,6.66,12.44,Concrete,1.0,30
FMJ,10.64,HK USP,422.13,5.86,11.47,Glass,17.0,65
PowerBond,8.48,Desert Eagle,500.88,9.51,12.37,Metal,16.0,25
SP,15.0,Mossberg 500,540.14,8.43,7.3,Rubber,4.0,55
V-MAX,11.52,FN Five-seveN,309.92,4.13,9.53,Brick,54.0,14
BT,5.65,Mossberg 500,630.09,4.99,10.07,Sand,2.0,43
PolyCase ARX,14.56,SCAR-L,645.2,5.62,9.79,Glass,1.0,101
BT,6.8,Benelli M4,670.06,3.85,11.06,Sand,39.0,31
FMJ,9.04,M16,650.49,9.75,9.95,Water,37.0,55
HST,10.4,Glock 17,516.25,11.06,9.11,Kevlar,10.0,11
Gold Dot,10.65,AR-15,698.11,4.75,7.7,Ceramic,74.0,6
Golden Saber,10.45,SCAR-L,608.81,2.56,9.71,Wood,74.0,51
Critical Defense,5.6,Remington 700,300.0,8.69,7.41,Ceramic,3.0,15
TMJ,10.46,Remington 700,300.0,8.12,9.81,Sand,13.0,46
Black Talon,12.3,Ruger SR9,561.71,17.21,10.65,Rubber,1.0,63
PolyCase ARX,12.22,Winchester Model 70,757.16,10.67,8.68,Sand,9.0,51
V-Crown,5.09,Barrett M82,589.21,3.49,11.49,Kevlar,1.0,32
AccuBond,7.03,HK USP,617.66,4.19,12.06,Kevlar,4.0,2
EFMJ,5.87,HK416,300.0,9.26,9.0,Kevlar,45.0,4
JHP,10.02,AR-15,513.47,7.78,9.24,Ceramic,37.0,23
Partition,5.0,AK-47,728.42,7.56,11.47,Concrete,39.0,42
V-Crown,5.63,FN Five-seveN,589.16,8.27,7.98,Brick,1.0,34
Partition,7.0,Dragunov SVD,520.93,11.1,7.78,Sand,17.0,28
ELD-M,5.0,Ruger SR9,618.83,15.42,9.3,Rubber,30.0,50
AccuBond,8.92,Desert Eagle,545.31,13.32,9.96,Glass,24.0,96
Hydra-Shok,5.0,Smith & Wesson M&P,734.91,3.94,8.9,Brick,14.0,23
EFMJ,10.46,Mossberg 500,545.16,5.86,11.14,Rubber,3.0,53
V-Crown,7.81,Colt 1911,493.85,2.0,7.28,Glass,30.0,74
PowerBond,7.13,HK USP,300.0,8.84,10.9,Glass,44.0,60
Critical Defense,7.62,HK USP,742.88,5.9,8.92,Concrete,6.0,39
V-MAX,8.82,AK-47,311.92,7.92,13.18,Metal,16.0,55
Black Talon,10.78,Colt 1911,547.5,4.71,11.82,Water,13.0,63
PowerBond,12.95,Dragunov SVD,660.19,4.67,10.25,Wood,26.0,48
Critical Duty,12.04,FN Five-seveN,857.87,2.0,9.92,Brick,52.0,19
Black Talon,15.0,Smith & Wesson M&P,545.33,6.72,8.97,Wood,12.0,75
Ranger T-Series,11.03,Beretta 92FS,778.26,10.28,6.0,Wood,12.0,78
V-Crown,9.42,Desert Eagle,505.48,5.3,10.22,Concrete,5.0,24
TMJ,7.63,Walther PPQ,387.91,10.61,12.27,Wood,4.0,62
PowerBond,7.73,Winchester Model 70,1000.0,5.23,8.11,Glass,1.0,82
AMAX,10.62,Winchester Model 70,300.0,8.0,8.35,Rubber,34.0,51
V-Crown,6.0,Walther PPQ,1000.0,13.42,10.21,Glass,10.0,107
PolyCase ARX,9.69,CZ 75,825.67,6.05,7.47,Metal,2.0,44
FMJ,8.94,Kel-Tec KSG,385.04,8.9,8.54,Brick,16.0,18
PowerBond,6.82,AR-15,629.97,9.04,9.12,Ceramic,8.0,30
AMAX,5.85,Kel-Tec KSG,300.0,9.09,10.25,Water,71.0,33
V-MAX,15.0,HK USP,618.61,10.12,14.0,Concrete,12.0,44
BT,5.0,Colt 1911,564.42,8.99,9.9,Concrete,2.0,5
Hydra-Shok,8.8,HK USP,673.29,3.89,10.76,Metal,20.0,27
Extreme Point,12.67,Sig Sauer P320,419.2,6.35,9.85,Kevlar,32.0,21
Hydra-Shok,10.59,Mossberg 500,531.8,10.3,10.6,Brick,17.0,29
JHP,7.58,HK USP,595.25,10.82,10.3,Water,30.0,44
FMJ,5.42,Sig Sauer P320,402.31,5.03,11.93,Wood,7.0,42
PowerBond,9.39,Glock 17,781.22,11.89,13.37,Metal,15.0,20
PowerBond,5.0,Kel-Tec KSG,526.03,6.09,9.7,Wood,35.0,56
EFMJ,9.51,Barrett M82,568.87,9.33,9.27,Concrete,2.0,23
TMJ,9.1,Kel-Tec KSG,333.44,8.78,14.0,Rubber,6.0,37
V-Crown,12.21,SCAR-L,300.0,4.35,13.41,Glass,20.0,85
V-Crown,5.57,Mossberg 500,300.0,6.9,10.7,Water,14.0,63
HST,8.03,Mossberg 500,619.26,2.0,12.52,Ceramic,29.0,6
AMAX,10.31,Colt 1911,341.94,6.43,13.26,Metal,4.0,27
Hydra-Shok,9.62,HK USP,645.78,12.93,9.57,Sand,38.0,34
AMAX,5.0,HK416,830.95,2.0,11.96,Sand,19.0,42
HST,7.06,SCAR-L,654.2,4.52,10.36,Rubber,5.0,63
Critical Defense,13.2,HK USP,585.26,6.15,10.42,Brick,1.0,29
AMAX,9.78,Beretta 92FS,631.14,2.0,11.63,Water,80.0,19
Partition,5.0,Springfield XD,720.8,2.0,13.54,Brick,12.0,35
Golden Saber,11.65,Springfield XD,562.34,16.24,11.13,Wood,6.0,62
AP,5.0,Colt 1911,632.74,10.35,11.9,Ceramic,4.0,23
FMJ,8.08,M4 Carbine,386.92,12.0,11.88,Sand,6.0,43
FMJ,10.69,Winchester Model 70,304.76,9.4,12.69,Ceramic,13.0,13
Gold Dot,12.64,Ruger SR9,398.84,10.32,11.24,Glass,38.0,89
Ranger T-Series,5.0,Benelli M4,434.73,6.73,10.55,Metal,5.0,56
Golden Saber,11.13,Ruger SR9,426.57,12.17,9.39,Water,9.0,60
PolyCase ARX,11.59,CZ 75,729.33,13.74,11.4,Concrete,32.0,21
Ranger T-Series,7.33,AR-15,300.0,5.29,9.31,Wood,22.0,57
BT,9.27,CZ 75,457.25,7.01,10.28,Water,1.0,69
BTHP,5.0,Springfield XD,648.66,5.68,8.03,Wood,6.0,52
JHP,5.0,Walther PPQ,641.35,7.66,14.0,Metal,3.0,32
V-Crown,12.33,HK416,336.21,10.96,7.9,Wood,1.0,72
V-MAX,7.38,Walther PPQ,847.74,7.28,11.21,Water,59.0,34
BTHP,7.96,Barrett M82,300.0,2.0,8.53,Glass,19.0,65
FMJ,9.7,Sig Sauer P320,430.01,11.88,7.34,Sand,16.0,37
BTHP,7.9,Remington 700,438.03,4.94,11.05,Rubber,39.0,24
Partition,7.62,Dragunov SVD,436.03,9.62,13.11,Ceramic,18.0,29
